[0.000000] (-) TimerEvent: {}
[0.000116] (-) JobUnselected: {'identifier': 'autonomous_exploration'}
[0.000141] (-) JobUnselected: {'identifier': 'fw_robot'}
[0.000156] (-) JobUnselected: {'identifier': 'hector_compressed_map_transport'}
[0.000169] (-) JobUnselected: {'identifier': 'hector_geotiff'}
[0.000181] (-) JobUnselected: {'identifier': 'hector_geotiff_launch'}
[0.000192] (-) JobUnselected: {'identifier': 'hector_geotiff_plugins'}
[0.000203] (-) JobUnselected: {'identifier': 'hector_imu_attitude_to_tf'}
[0.000214] (-) JobUnselected: {'identifier': 'hector_imu_tools'}
[0.000224] (-) JobUnselected: {'identifier': 'hector_map_server'}
[0.000235] (-) JobUnselected: {'identifier': 'hector_map_tools'}
[0.000246] (-) JobUnselected: {'identifier': 'hector_mapping'}
[0.000256] (-) JobUnselected: {'identifier': 'hector_marker_drawing'}
[0.000267] (-) JobUnselected: {'identifier': 'hector_nav_msgs'}
[0.000277] (-) JobUnselected: {'identifier': 'hector_slam'}
[0.000287] (-) JobUnselected: {'identifier': 'hector_slam_launch'}
[0.000298] (-) JobUnselected: {'identifier': 'hector_trajectory_server'}
[0.000308] (-) JobUnselected: {'identifier': 'my_bot'}
[0.000319] (-) JobUnselected: {'identifier': 'my_package'}
[0.000329] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.000343] (-) JobUnselected: {'identifier': 'tf2_py'}
[0.000355] (-) EventReactorShutdown: {}
